CODICE;DESCRIZIONE
172;FABBRICAZIONE DI ARTICOLI DI CARTA E CARTONE
181;STAMPA E SERVIZI CONNESSI ALLA STAMPA
182;RIPRODUZIONE DI SUPPORTI REGISTRATI
191;FABBRICAZIONE DI PRODOTTI DI COKERIA
192;FABBRICAZIONE DI PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO
201;FABBRICAZIONE DI PRODOTTI CHIMICI DI BASE, DI FERTILIZZANTI E COMPOSTI AZOTATI, DI MATERIE PLASTICHE E GOMMA SINTETICA IN FORME PRIMARIE
202;FABBRICAZIONE DI AGROFARMACI E DI ALTRI PRODOTTI CHIMICI PER L'AGRICOLTURA
203;FABBRICAZIONE DI PITTURE, VERNICI E SMALTI, INCHIOSTRI DA STAMPA E ADESIVI SINTETICI (MASTICI)
204;FABBRICAZIONE DI SAPONI E DETERGENTI, DI PRODOTTI PER LA PULIZIA E LA LUCIDATURA, DI PROFUMI E COSMETICI
205;FABBRICAZIONE DI ALTRI PRODOTTI CHIMICI
206;FABBRICAZIONE DI FIBRE SINTETICHE E ARTIFICIALI
211;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE
212;FABBRICAZIONE DI MEDICINALI E PREPARATI FARMACEUTICI
221;FABBRICAZIONE DI ARTICOLI IN GOMMA
222;FABBRICAZIONE DI ARTICOLI IN MATERIE PLASTICHE
231;FABBRICAZIONE DI VETRO E DI PRODOTTI IN VETRO
232;FABBRICAZIONE DI PRODOTTI REFRATTARI
233;FABBRICAZIONE DI MATERIALI DA COSTRUZIONE IN TERRACOTTA
234;FABBRICAZIONE DI ALTRI PRODOTTI IN PORCELLANA E IN CERAMICA
235;PRODUZIONE DI CEMENTO, CALCE E GESSO
236;FABBRICAZIONE DI PRODOTTI IN CALCESTRUZZO, CEMENTO E GESSO
237;TAGLIO, MODELLATURA E FINITURA DI PIETRE
239;FABBRICAZIONE DI PRODOTTI ABRASIVI E DI PRODOTTI IN MINERALI NON METALLIFERI NCA
241;SIDERURGIA
242;FABBRICAZIONE DI TUBI, CONDOTTI, PROFILATI CAVI E RELATIVI ACCESSORI IN ACCIAIO (ESCLUSI QUELLI IN ACCIAIO COLATO)
243;FABBRICAZIONE DI ALTRI PRODOTTI DELLA PRIMA TRASFORMAZIONE DELL'ACCIAIO
244;PRODUZIONE DI METALLI DI BASE PREZIOSI E ALTRI METALLI NON FERROSI, TRATTAMENTO DEI COMBUSTIBILI NUCLEARI
245;FONDERIE
251;FABBRICAZIONE DI ELEMENTI DA COSTRUZIONE IN METALLO
252;FABBRICAZIONE DI CISTERNE, SERBATOI, RADIATORI E CONTENITORI IN METALLO
253;FABBRICAZIONE DI GENERATORI DI VAPORE (ESCLUSI I CONTENITORI IN METALLO PER CALDAIE PER IL RISCALDAMENTO CENTRALE AD ACQUA CALDA)
254;FABBRICAZIONE DI ARMI E MUNIZIONI
255;"FUCINATURA, IMBUTITURA, STAMPAGGIO E PROFILATURA DEI METALLI; METALLURGIA DELLE POLVERI"
256;"TRATTAMENTO E RIVESTIMENTO DEI METALLI; LAVORI DI MECCANICA GENERALE"
257;FABBRICAZIONE DI ARTICOLI DI COLTELLERIA, UTENSILI E OGGETTI DI FERRAMENTA
259;FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO
261;FABBRICAZIONE DI COMPONENTI ELETTRONICI E SCHEDE ELETTRONICHE
262;FABBRICAZIONE DI COMPUTER E UNITÀ PERIFERICHE
263;FABBRICAZIONE DI APPARECCHIATURE PER LE TELECOMUNICAZIONI
264;FABBRICAZIONE DI PRODOTTI DI ELETTRONICA DI CONSUMO AUDIO E VIDEO
265;"FABBRICAZIONE DI STRUMENTI E APPARECCHI DI MISURAZIONE, PROVA E NAVIGAZIONE; OROLOGI"
266;FABBRICAZIONE DI STRUMENTI PER IRRADIAZIONE, APPARECCHIATURE ELETTROMEDICALI ED ELETTROTERAPEUTICHE
267;FABBRICAZIONE DI STRUMENTI OTTICI E ATTREZZATURE FOTOGRAFICHE
268;FABBRICAZIONE DI SUPPORTI MAGNETICI ED OTTICI
271;FABBRICAZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI E DI APPARECCHIATURE PER LA DISTRIBUZIONE E IL CONTROLLO DELL'ELETTRICITÀ
272;FABBRICAZIONE DI BATTERIE DI PILE ED ACCUMULATORI ELETTRICI
273;FABBRICAZIONE DI CABLAGGI E APPARECCHIATURE DI CABLAGGIO
274;FABBRICAZIONE DI APPARECCHIATURE PER ILLUMINAZIONE
275;FABBRICAZIONE DI APPARECCHI PER USO DOMESTICO
279;FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE
281;FABBRICAZIONE DI MACCHINE DI IMPIEGO GENERALE
282;FABBRICAZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE
283;FABBRICAZIONE DI MACCHINE PER L'AGRICOLTURA E LA SILVICOLTURA
284;FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
289;FABBRICAZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI
291;FABBRICAZIONE DI AUTOVEICOLI
292;FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI
293;FABBRICAZIONE DI PARTI ED ACCESSORI PER AUTOVEICOLI E LORO MOTORI
301;COSTRUZIONE DI NAVI E IMBARCAZIONI
302;COSTRUZIONE DI LOCOMOTIVE E DI MATERIALE ROTABILE FERRO-TRANVIARIO
303;FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI
304;FABBRICAZIONE DI VEICOLI MILITARI DA COMBATTIMENTO
309;FABBRICAZIONE DI MEZZI DI TRASPORTO NCA
310;FABBRICAZIONE DI MOBILI
321;"FABBRICAZIONE DI GIOIELLERIA, BIGIOTTERIA E ARTICOLI CONNESSI; LAVORAZIONE DELLE PIETRE PREZIOSE"
322;FABBRICAZIONE DI STRUMENTI MUSICALI
323;FABBRICAZIONE DI ARTICOLI SPORTIVI
324;FABBRICAZIONE DI GIOCHI E GIOCATTOLI
325;FABBRICAZIONE DI STRUMENTI E FORNITURE MEDICHE E DENTISTICHE
329;INDUSTRIE MANIFATTURIERE NCA
331;RIPARAZIONE E MANUTENZIONE DI PRODOTTI IN METALLO, MACCHINE ED APPARECCHIATURE
332;INSTALLAZIONE DI MACCHINE ED APPARECCHIATURE INDUSTRIALI
351;PRODUZIONE, TRASMISSIONE E DISTRIBUZIONE DI ENERGIA ELETTRICA
352;"PRODUZIONE DI GAS; DISTRIBUZIONE DI COMBUSTIBILI GASSOSI MEDIANTE CONDOTTE"
353;FORNITURA DI VAPORE E ARIA CONDIZIONATA
360;RACCOLTA, TRATTAMENTO E FORNITURA DI ACQUA
370;GESTIONE DELLE RETI FOGNARIE
381;RACCOLTA DEI RIFIUTI
382;TRATTAMENTO E SMALTIMENTO DEI RIFIUTI
383;RECUPERO DEI MATERIALI
390;ATTIVITÀ DI RISANAMENTO E ALTRI SERVIZI DI GESTIONE DEI RIFIUTI
411;SVILUPPO DI PROGETTI IMMOBILIARI
412;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI
421;COSTRUZIONE DI STRADE E FERROVIE
422;COSTRUZIONE DI OPERE DI PUBBLICA UTILITÀ
429;COSTRUZIONE DI ALTRE OPERE DI INGEGNERIA CIVILE
431;DEMOLIZIONE E PREPARAZIONE DEL CANTIERE EDILE
432;INSTALLAZIONE DI IMPIANTI ELETTRICI, IDRAULICI ED ALTRI LAVORI DI COSTRUZIONE E INSTALLAZIONE
433;COMPLETAMENTO E FINITURA DI EDIFICI
439;ALTRI LAVORI SPECIALIZZATI DI COSTRUZIONE
451;COMMERCIO DI AUTOVEICOLI
452;MANUTENZIONE E RIPARAZIONE DI AUTOVEICOLI
453;COMMERCIO DI PARTI E ACCESSORI DI AUTOVEICOLI
454;COMMERCIO, MANUTENZIONE E RIPARAZIONE DI MOTOCICLI E RELATIVE PARTI ED ACCESSORI
461;INTERMEDIARI DEL COMMERCIO
462;COMMERCIO ALL'INGROSSO DI MATERIE PRIME AGRICOLE E DI ANIMALI VIVI
463;COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI, BEVANDE E PRODOTTI DEL TABACCO
464;COMMERCIO ALL'INGROSSO DI BENI DI CONSUMO FINALE
465;COMMERCIO ALL'INGROSSO DI APPARECCHIATURE ICT
466;COMMERCIO ALL'INGROSSO DI ALTRI MACCHINARI, ATTREZZATURE E FORNITURE
467;COMMERCIO ALL'INGROSSO SPECIALIZZATO DI ALTRI PRODOTTI
469;COMMERCIO ALL'INGROSSO NON SPECIALIZZATO
471;COMMERCIO AL DETTAGLIO IN ESERCIZI NON SPECIALIZZATI
472;COMMERCIO AL DETTAGLIO DI PRODOTTI ALIMENTARI, BEVANDE E TABACCO IN ESERCIZI SPECIALIZZATI
473;COMMERCIO AL DETTAGLIO DI CARBURANTE PER AUTOTRAZIONE IN ESERCIZI SPECIALIZZATI
474;COMMERCIO AL DETTAGLIO DI APPARECCHIATURE INFORMATICHE E PER LE TELECOMUNICAZIONI (ICT) IN ESERCIZI SPECIALIZZATI
475;COMMERCIO AL DETTAGLIO DI ALTRI PRODOTTI PER USO DOMESTICO IN ESERCIZI SPECIALIZZATI
476;COMMERCIO AL DETTAGLIO DI ARTICOLI CULTURALI E RICREATIVI IN ESERCIZI SPECIALIZZATI
477;COMMERCIO AL DETTAGLIO DI ALTRI PRODOTTI IN ESERCIZI SPECIALIZZATI
478;COMMERCIO AL DETTAGLIO AMBULANTE
479;COMMERCIO AL DETTAGLIO AL DI FUORI DI NEGOZI, BANCHI E MERCATI
491;TRASPORTO FERROVIARIO DI PASSEGGERI (INTERURBANO)
492;TRASPORTO FERROVIARIO DI MERCI
493;ALTRI TRASPORTI TERRESTRI DI PASSEGGERI
494;TRASPORTO DI MERCI SU STRADA E SERVIZI DI TRASLOCO
495;TRASPORTO MEDIANTE CONDOTTE
501;TRASPORTO MARITTIMO E COSTIERO DI PASSEGGERI
502;TRASPORTO MARITTIMO E COSTIERO DI MERCI
503;TRASPORTO DI PASSEGGERI PER VIE D'ACQUA INTERNE
504;TRASPORTO DI MERCI PER VIE D'ACQUA INTERNE
511;TRASPORTO AEREO DI PASSEGGERI
512;TRASPORTO AEREO DI MERCI E TRASPORTO SPAZIALE
521;MAGAZZINAGGIO E CUSTODIA
522;ATTIVITÀ DI SUPPORTO AI TRASPORTI
531;ATTIVITÀ POSTALI CON OBBLIGO DI SERVIZIO UNIVERSALE
532;ALTRE ATTIVITÀ POSTALI E DI CORRIERE
551;ALBERGHI E STRUTTURE SIMILI
552;ALLOGGI PER VACANZE E ALTRE STRUTTURE PER BREVI SOGGIORNI
553;AREE DI CAMPEGGIO E AREE ATTREZZATE PER CAMPER E ROULOTTE
559;ALTRI ALLOGGI
561;RISTORANTI E ATTIVITÀ DI RISTORAZIONE MOBILE
562;FORNITURA DI PASTI PREPARATI (CATERING) E ALTRI SERVIZI DI RISTORAZIONE
563;BAR E ALTRI ESERCIZI SIMILI SENZA CUCINA
581;EDIZIONE DI LIBRI, PERIODICI ED ALTRE ATTIVITÀ EDITORIALI
582;EDIZIONE DI SOFTWARE
591;ATTIVITÀ DI PRODUZIONE, POST-PRODUZIONE E DISTRIBUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, REGISTRAZIONI MUSICALI E SONORE
592;ATTIVITÀ DI REGISTRAZIONE SONORA E DI EDITORIA MUSICALE
601;TRASMISSIONI RADIOFONICHE
602;ATTIVITÀ DI PROGRAMMAZIONE E TRASMISSIONI TELEVISIVE
611;TELECOMUNICAZIONI FISSE
612;TELECOMUNICAZIONI MOBILI
613;TELECOMUNICAZIONI SATELLITARI
619;ALTRE ATTIVITÀ DI TELECOMUNICAZIONE
620;PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE
631;"ELABORAZIONE DEI DATI, HOSTING E ATTIVITÀ CONNESSE; PORTALI WEB"
639;ALTRE ATTIVITÀ DEI SERVIZI D'INFORMAZIONE
641;INTERMEDIAZIONE MONETARIA
642;ATTIVITÀ DELLE SOCIETÀ DI PARTECIPAZIONE (HOLDING)
643;SOCIETÀ FIDUCIARIE, FONDI E ALTRE SOCIETÀ SIMILI
649;ALTRE ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE)
651;ASSICURAZIONI
652;RIASSICURAZIONI
653;FONDI PENSIONE
661;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE)
662;ATTIVITÀ AUSILIARIE DELLE ASSICURAZIONI E DEI FONDI PENSIONE
663;ATTIVITÀ DI GESTIONE DEI FONDI
681;COMPRAVENDITA DI BENI IMMOBILI EFFETTUATA SU BENI PROPRI
682;AFFITTO E GESTIONE DI IMMOBILI DI PROPRIETÀ O IN LEASING 
683;ATTIVITÀ IMMOBILIARI PER CONTO TERZI
691;ATTIVITÀ DEGLI STUDI LEGALI
692;CONTABILITÀ, CONTROLLO E REVISIONE CONTABILE, CONSULENZA IN MATERIA FISCALE E DEL LAVORO
701;ATTIVITÀ DI DIREZIONE AZIENDALE
702;ATTIVITÀ DI CONSULENZA GESTIONALE
711;ATTIVITÀ DEGLI STUDI DI ARCHITETTURA, INGEGNERIA ED ALTRI STUDI TECNICI
712;COLLAUDI ED ANALISI TECNICHE
721;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA
722;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE SOCIALI E UMANISTICHE
731;PUBBLICITÀ
732;RICERCHE DI MERCATO E SONDAGGI DI OPINIONE
741;ATTIVITÀ DI DESIGN SPECIALIZZATE
742;ATTIVITÀ FOTOGRAFICHE
743;TRADUZIONE E INTERPRETARIATO
749;ALTRE ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE NCA
750;SERVIZI VETERINARI
771;NOLEGGIO DI AUTOVEICOLI
772;NOLEGGIO DI BENI PER USO PERSONALE E PER LA CASA
773;NOLEGGIO DI ALTRE MACCHINE, ATTREZZATURE E BENI MATERIALI
774;CONCESSIONE DEI DIRITTI DI SFRUTTAMENTO DI PROPRIETÀ INTELLETTUALE E PRODOTTI SIMILI (ESCLUSE LE OPERE PROTETTE DAL COPYRIGHT)
781;ATTIVITÀ DI AGENZIE DI COLLOCAMENTO
782;ATTIVITÀ DELLE AGENZIE DI LAVORO TEMPORANEO (INTERINALE)
783;ALTRE ATTIVITÀ DI FORNITURA E GESTIONE DI RISORSE UMANE
791;ATTIVITÀ DELLE AGENZIE DI VIAGGIO E DEI TOUR OPERATOR
799;ALTRI SERVIZI DI PRENOTAZIONE E ATTIVITÀ CONNESSE
801;SERVIZI DI VIGILANZA PRIVATA
802;SERVIZI CONNESSI AI SISTEMI DI VIGILANZA
803;SERVIZI INVESTIGATIVI PRIVATI
811;SERVIZI INTEGRATI DI GESTIONE AGLI EDIFICI
812;ATTIVITÀ DI PULIZIA E DISINFESTAZIONE
813;CURA E MANUTENZIONE DEL PAESAGGIO
821;ATTIVITÀ DI SUPPORTO PER LE FUNZIONI D'UFFICIO
822;ATTIVITÀ DEI CALL CENTER
823;ORGANIZZAZIONE DI CONVEGNI E FIERE
829;SERVIZI DI SUPPORTO ALLE IMPRESE NCA
841;AMMINISTRAZIONE PUBBLICA: AMMINISTRAZIONE GENERALE, ECONOMICA E SOCIALE
842;SERVIZI COLLETTIVI DELLE AMMINISTRAZIONI PUBBLICHE
843;ASSICURAZIONE SOCIALE OBBLIGATORIA
851;ISTRUZIONE PRESCOLASTICA
852;ISTRUZIONE PRIMARIA 
853;ISTRUZIONE SECONDARIA
854;ISTRUZIONE POST-SECONDARIA UNIVERSITARIA E NON UNIVERSITARIA
855;ALTRI SERVIZI DI ISTRUZIONE
856;ATTIVITÀ DI SUPPORTO ALL'ISTRUZIONE
861;SERVIZI OSPEDALIERI
862;SERVIZI DEGLI STUDI MEDICI E ODONTOIATRICI
869;ALTRI SERVIZI DI ASSISTENZA SANITARIA
871;STRUTTURE DI ASSISTENZA INFERMIERISTICA RESIDENZIALE
872;STRUTTURE DI ASSISTENZA RESIDENZIALE PER PERSONE AFFETTE DA RITARDI MENTALI, DISTURBI MENTALI O CHE ABUSANO DI SOSTANZE STUPEFACENTI
873;STRUTTURE DI ASSISTENZA RESIDENZIALE PER ANZIANI E DISABILI
879;ALTRE STRUTTURE DI ASSISTENZA SOCIALE RESIDENZIALE
889;ALTRE ATTIVITÀ DI ASSISTENZA SOCIALE NON RESIDENZIALE
900;ATTIVITÀ CREATIVE, ARTISTICHE E DI INTRATTENIMENTO
910;ATTIVITÀ DI BIBLIOTECHE, ARCHIVI, MUSEI ED ALTRE ATTIVITÀ CULTURALI
920;ATTIVITÀ RIGUARDANTI LE LOTTERIE, LE SCOMMESSE, LE CASE DA GIOCO
931;ATTIVITÀ SPORTIVE
932;ATTIVITÀ RICREATIVE E DI DIVERTIMENTO
941;ATTIVITÀ DI ORGANIZZAZIONI ECONOMICHE, DI DATORI DI LAVORO E PROFESSIONALI
942;ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI
949;ATTIVITÀ DI ALTRE ORGANIZZAZIONI ASSOCIATIVE 
951;RIPARAZIONE DI COMPUTER E DI APPARECCHIATURE PER LE COMUNICAZIONI
952;RIPARAZIONE DI BENI PER USO PERSONALE E PER LA CASA
960;ALTRE ATTIVITÀ DI SERVIZI PER LA PERSONA
970;ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO
981;PRODUZIONE DI BENI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE
982;PRODUZIONE DI SERVIZI INDIFFERENZIATI PER USO PROPRIO DA PARTE DI FAMIGLIE E CONVIVENZE
990;ORGANIZZAZIONI ED ORGANISMI EXTRATERRITORIALI
